date,code,name,market,open,high,low,close,change,change_rate,volume,trading_value,market_cap,listed_shares
20251218,005930,삼성전자,KOSPI,106400,108200,105700,107600,-300,-0.28,20445631,2187289590140,636953040407200,5919637922
20251218,035720,카카오,KOSPI,56000,57900,55500,57100,100,0.18,1453355,82737081550,25262398922900,442423799
20251219,005380,현대차,KOSPI,285500,288500,278500,288500,6000,2.12,1210816,344865999750,59072615491000,204757766
20251219,005930,삼성전자,KOSPI,109700,109700,106200,106300,-1300,-1.21,25917098,2775502209243,629257511108600,5919637922
20251219,035720,카카오,KOSPI,58000,58400,57500,58200,1100,1.93,1440858,83650096800,25749065101800,442423799
20251222,005380,현대차,KOSPI,290500,290500,285000,289000,500,0.17,676748,195149790250,59174994374000,204757766
20251222,005930,삼성전자,KOSPI,109700,110500,109300,110500,4200,3.95,24859171,2733030756000,654119990381000,5919637922
20251222,035720,카카오,KOSPI,58800,59300,58300,58700,500,0.86,1454365,85587874900,25970277001300,442423799
20251223,005380,현대차,KOSPI,290500,292500,285500,287000,-2000,-0.69,699584,201403369000,58765478842000,204757766
20251223,005930,삼성전자,KOSPI,110900,112500,110400,111500,1000,0.9,20419187,2280880376500,660039628303000,5919637922
20251223,035720,카카오,KOSPI,58700,59500,58300,59000,300,0.51,1324562,78164304400,26103004141000,442423799
20251224,005380,현대차,KOSPI,289000,300000,287000,289000,2000,0.7,1295368,380589865750,59174994374000,204757766
20251224,005930,삼성전자,KOSPI,112400,112400,110900,111100,-400,-0.36,12492939,1392948448100,657671773134200,5919637922
20251224,035720,카카오,KOSPI,59300,60000,58600,59800,800,1.36,1948824,115793052650,26456943180200,442423799
